Sample,ROI,Depolarization_Start_Time_s,Peak_Time_s,Amplitude,APD50_s,APD90_s,APD50_90_Ratio,Upstroke_Time_s,Repolarization_Time_s,Repolarization_Level
CRISPH222P_PreISO011,#9 (Mono - Tx Red),0.32,0.44,0.007229004943676963,0.25999999999999995,0.33,0.7878787878787877,0.12,0.65,0.0019962524031986112
CRISPH222P_PreISO011,#9 (Mono - Tx Red),0.761,0.901,0.007782205322450456,0.2499999999999999,0.38,0.657894736842105,0.14,1.141,0.0019813795665696026
CRISPH222P_PreISO011,#9 (Mono - Tx Red),2.102,2.272,0.007837626586080566,0.31000000000000005,0.41999999999999993,0.7380952380952384,0.16999999999999993,2.522,0.0019262239647580405
CRISPH222P_PreISO011,#9 (Mono - Tx Red),2.622,2.732,0.007561867282051756,0.25,0.3500000000000001,0.7142857142857141,0.11000000000000032,2.972,0.0019136042379258708
CRISPH222P_PreISO011,#9 (Mono - Tx Red),3.072,3.192,0.007358049608990176,0.28100000000000014,0.351,0.800569800569801,0.1200000000000001,3.423,0.0021811129335085966
CRISPH222P_PreISO011,#9 (Mono - Tx Red),3.523,3.673,0.008569066901240586,0.2599999999999998,0.3999999999999999,0.6499999999999996,0.1499999999999999,3.923,0.0021557999180246037
CRISPH222P_PreISO011,#9 (Mono - Tx Red),3.983,4.113,0.007230399551874945,0.2799999999999998,0.3599999999999999,0.7777777777777775,0.13000000000000034,4.343,0.00176919160891579
CRISPH222P_PreISO011,#9 (Mono - Tx Red),4.443,4.584,0.007680072028094755,0.25100000000000033,0.3810000000000002,0.6587926509186357,0.14100000000000001,4.824,0.001674008884500843
CRISPH222P_PreISO011,#9 (Mono - Tx Red),4.904,5.034,0.007979229719536256,0.28000000000000025,0.41000000000000014,0.6829268292682931,0.1299999999999999,5.314,0.001895415631958708
CRISPH222P_PreISO011,#9 (Mono - Tx Red),5.354,5.534,0.007915691894965611,0.28000000000000025,0.4500000000000002,0.6222222222222226,0.17999999999999972,5.804,0.0018442442233348219
